Дата счета,ID Счета,ID позиции счета,ID заявки,Наименование позиции в счете,Наименование позиции в заявке,Кол-во позиций в счете,Стоимость позиции
2021-09-27 10:01:48.485,49699,250931,28858,Перчатки х/б 13 кл. один облив,Перчатки  рабочие хб 13  класс с латексным покрытием 1-облив,1000.0,18970.0
2021-09-27 10:01:48.485,49699,250932,28858,"Нож пистолетный, автоблок, пластик, 18 мм",Нож пистолетный усиленный автоблок пластик 18 мм,100.0,1498.0
2021-09-27 10:01:48.485,49699,250933,28858,"Запасные сегментные лезвия, 18 мм, 10 шт.",Лезвия запаные к ножам 18мм (10шт/уп),100.0,2300.0
2021-09-27 10:01:48.485,49699,250934,28858,Колодка тройная однофазная сзаглушками с/з каучук 16А 250В IP44 (еврослот),ОМЕГА Разетка каучук пройная с защитными крышками IP44,100.0,16964.0
2021-09-27 10:01:48.485,49699,250935,28858,"Вилка сетевая универсал каучук, однофазная 16А, IP44 с/з прямая, черная",ОМЕГА Вилка прямая каучук 16А 2Р+Е IР44,100.0,5168.0
2021-09-27 10:01:48.485,49699,250936,28858,"Тачка одноколесная, грузоподъемность 75 кг, объем 80 л",Тачка одноколесная грузоподъемность 75 кг объем 80 л,20.0,37720.0
2021-09-27 10:12:09.577,49703,250943,28858,"Молоток универсальный ""Sait Demirci""",Молоток универсальный 450г. Said Demirci,50.0,20000.0
2021-09-30 15:22:38.610,50452,254107,28858,Плоттер HP DesignJet T1700 HDD500Gb (W6B55A),Принтер HP DesignJet T930,1.0,355770.0
2021-09-30 21:38:58.831,50510,254465,28858,"Бумага широкоформатная ProMEGA engineer 90г 914ммх45м 50, 8мм",Рулоны для плотера (под А1),10.0,11511.0
2021-09-30 21:38:58.831,50510,254466,28858,"Бумага SvetoCopy (А4, марка С, 80 г/кв.м, 500 л)",Бумака А4 (пачка),20.0,4686.48
2021-09-30 21:38:58.831,50510,254467,28858,"Бумага SvetoCopy (А3, марка С, 80 г/кв.м, 500 л)",Бумака А3 (пачка),10.0,5949.96
2021-10-04 14:36:57.217,50843,256155,29589,"Монитор HP 27"" EliteDisplay E273q (1FH52AA) 27"", IPS, 2560x1440 (Quad HD), 5 мс, 60 Гц, 350 кд/м2, 178°/178°, VGA, HDMI, DisplayPort, USB Type-C, серебристый",Монитор игровой HP X27q (2V7U5AA),3.0,77679.0
2021-10-04 14:36:57.217,50843,256156,29589,"Сумка для ноутбука Sumdex PON-201GY сумка, максимальный размер экрана 16"", материал: синтетический, цвет: серый",Сумка для ноутбука 15.6 Sumdex PON-201GY серая,1.0,1401.0
2021-10-04 14:36:57.217,50843,256157,29589,"Ноутбук Dell G15 5510 Black (G515-4373) 15.6"" 1920x1080 (Full HD), Intel Core i7 10870H, 2200 МГц, 16 Гб DDR-4, 1 Тб SSD, GeForce RTX 3060 6144 Мб, Wi-Fi, Bluetooth, Cam, Linux, чёрный",Ноутбук DELL G5 5500 (G515-6000),1.0,128986.0
2021-10-04 14:36:57.217,50843,256158,29589,"Клавиатура + мышь Logitech MK850 Performance (920-008232) беспроводная клавиатура + мышь (Bluetooth/радиоканал), цифровой блок, USB, цвет: чёрный","Комплект (клавиатура+мышь) LOGITECH MK850 Perfomance, USB, беспроводной, черный [920-008232]",2.0,17772.0
2021-10-04 14:36:57.217,50843,256159,29589,"Настольный компьютер Lenovo ThinkCentre M720e SFF (11BD0072RU) Intel Core i5 9400, 2900 МГц, 4 Гб, без HDD, 256 Гб SSD, Intel UHD Graphics 630, DVD-RW, 1000 Мбит/с, Windows 10 Professional (64 bit), мышь, клавиатура",Системный блок Lenovo ThinkCentre M720e SFF (11BD0072RU),3.0,138831.0
2021-10-04 14:36:57.217,50843,256160,29589,"Клавиатура + мышь Logitech Wireless Combo MK270 Black USB (920-004518) беспроводная клавиатура + мышь (радиоканал), цифровой блок, USB, цвет: чёрный",Комплект клавиатура+мышь Logitech Combo MK270 (920-004518),3.0,8088.0
2021-10-04 14:36:57.217,50843,256161,29589,"Монитор Samsung 24"" S24F350FHI 23.5"", PLS, 1920x1080 (Full HD), 4 мс, AMD FreeSync, 250 кд/м2, 178°/178°, VGA, HDMI, чёрный",Монитор Acer SA240YAbi,3.0,36468.0
2021-10-05 10:16:29.467,51006,256852,28858,МФУ Kyocera ECOSYS M8124cidn (1102P43NL0)A3 24/12 ppm,МФУ KYOCERA ECOSYS M8124cidn,1.0,146055.0
2021-10-06 13:17:57.202,51293,258170,29589,"Настольный компьютер Lenovo ThinkStation P340 SFF (30DK0032RU) Intel Core i7 10700, 2900 МГц, 16 Гб, 1 Тб, 256 Гб SSD, Quadro P1000 4096 Мб, DVD-RW, 1000 Мбит/с, Windows 10 Professional (64 bit), клавиатура, мышь",Графическая станция Preon Ultimate GX4599.10,1.0,134989.0
2021-10-13 10:18:30.908,52394,263266,30416,Линолеум TiTAN 70/Вид:коммерческий-усиленный/Бренд:Линолеум.Ру/Сер тификат:ФЗ-123 КМ2/Модель:Лин ком 42/2.3 /Шир-3.0м/Дизайн-ACZENT BETON MM996,"Линолеум TiTAN
70/Вид:коммерческий-усиленный/Бренд:Линолеум.Ру/Сер
тификат:ФЗ-123 КМ2/Модель:Лин ком 42/2.3
/Шир-3.0м/Дизайн-ACZENT BETON MM996",226.32,85057.85
2021-10-13 10:18:30.908,52394,263267,30416,Клей для линолеума/Вид:акриловый/Бренд:Линолеум.Ру/Марка:№ 203 PROFI/Для:линолеум коммерческий+бытовой/Морозостойкий до -30С/Ведро-14кг,"Клей для
линолеума/Вид:акриловый/Бренд:Линолеум.Ру/Марка:№
203 PROFI/Для:линолеум
коммерческий+бытовой/Морозостойкий до
-30С/Ведро-14кг",10.0,21158.3
2021-10-13 10:18:30.908,52394,263268,30416,"Плинтус КЛАССИК 55/Т.П.Линолеум.Ру/мягк.край,кабель канал, 55ммх2200мм/Цвет-210 Дуб пепельный","Плинтус КЛАССИК 55/Т.П.Линолеум.Ру/мягк.край,кабель
канал, 55ммх2200мм/Цвет-210 Дуб пепельный",91.0,6294.47
2021-10-13 10:18:30.908,52394,263269,30416,Угол внутренний для плинтуса КЛАССИК 55,Угол внутренний для плинтуса КЛАССИК 55,25.0,437.5
2021-10-13 10:18:30.908,52394,263270,30416,Угол наружний для плинтуса КЛАССИК 55,Угол наружний для плинтуса КЛАССИК 55,25.0,500.0
2021-10-13 10:18:30.908,52394,263271,30416,Соединитель для плинтуса КЛАССИК 55,Соединитель для плинтуса КЛАССИК 55,20.0,333.4
2021-10-13 10:18:30.908,52394,263272,30416,Заглушка правая для плинтуса КЛАССИК 55,Заглушка правая для плинтуса КЛАССИК 55,10.0,166.7
2021-10-13 10:18:30.908,52394,263273,30416,Заглушка левая для плинтуса КЛАССИК 55,Заглушка левая для плинтуса КЛАССИК 55,10.0,166.7
2021-10-13 10:18:30.908,52394,263274,30416,Линолеум TEXTiLE PROJECT/Вид:бытовой-утепленный/Бренд:Линолеум.Ру/ Сертификат:ФЗ-123 КМ5/Марка:Лин быт 23/2.6/Шир-2.0м/Дизайн-БУРБОН 532,"Линолеум TEXTiLE
PROJECT/Вид:бытовой-утепленный/Бренд:Линолеум.Ру/
Сертификат:ФЗ-123 КМ5/Марка:Лин быт
23/2.6/Шир-2.0м/Дизайн-БУРБОН 532",100.0,30583.0
2021-10-13 10:18:30.908,52394,263275,30416,Линолеум TEXTiLE PROJECT/Вид:бытовой-утепленный/Бренд:Линолеум.Ру/ Сертификат:ФЗ-123 КМ5/Марка:Лин быт 23/2.6/Шир-3.0м/Дизайн-БУРБОН 596,"Линолеум TEXTiLE
PROJECT/Вид:бытовой-утепленный/Бренд:Линолеум.Ру/
Сертификат:ФЗ-123 КМ5/Марка:Лин быт
23/2.6/Шир-3.0м/Дизайн-БУРБОН 596",54.0,16514.81
2021-10-13 10:18:30.908,52394,263276,30465,Доставка зона - 2,Доставка зона - 2,1.0,2416.67
2021-10-22 17:14:39.883,54058,272316,31299,"373.503 - Комплекс организационных, технических мероприятий по допуску в электроустановку для выполнения работ неучтенных перечнем работ, выполняемых в порядке текущей эксплуатации.","373.503 - Комплекс организационных, технических мероприятий по допуску в электроустановку для выполнения работ неучтенных перечнем работ, выполняемых в порядке текущей эксплуатации.",7.0,80500.0
2021-10-23 10:57:40.444,54079,272370,31034,"DS-N332/2(B), 32-х канальный IP-регистратор. Видеовход: 32 IP до 8Мп; Аудиовход: 1 канал RCA;Видеовыход: 1 VGA и 1 HDMI до 1080Р (независимые); Аудиовыход; 1 канал RCA;ВидеосжатиеH.265+/H.265/H.264+/H.264; Входящий поток 256 Мбит/с; Исходящий поток 160 Мбит/с. Разрешение записи: до 8Мп. Синхр.воспр. 4 канала 4Mp, 8 каналов 1080P; 2 SATA для HDD до 10Тб, 1 10M/100M/1000M Ethernet интерфейс; тревожные вход/выход 4/1; 1 х USB 3.0; 1 х USB 2.0, -10°C до +55°C;12В DC; 15Вт макс (без HDD).",Видеорегистратор HIKVISION DS-7732NI-I4(B) DS-7732NI-I4(B) HIKVISION,1.0,14958.0
2021-10-23 10:57:40.444,54079,272371,31034,"WD40PURZ, Жесткий диск 4Тб, HDD, SATA III, 3.5"" для систем видеонаблюдения.",Жесткий диск на 4ТБ,1.0,9400.0
2021-10-23 10:57:40.444,54079,272372,31034,"DS-S2624P(B), Коммутатор сетевой 24 портовый; 24хRJ45 100M PoE; 1хRJ45 1000M; 1хSFP 1000Мпорта; таблица MAC адресов на 4000 записей; пропускная способность 8.8Гб/с; стандарты PoE: IEEE 802.3af, IEEE802.3at; бюджет PoE 230Вт; AC100-240В; 0 °C...+40°C; 335х44,5х226 мм.","DGS-1100-26MP
Настраиваемый L2 коммутатор с 24 портами 10/100/1000Base-T и 2 комбо-портами 100/1000Base-T/SFP (24 порта PoE 802.3af/at, PoE-бюджет 370 Вт)",1.0,16074.0
2021-10-23 10:57:40.444,54079,272373,31034,"DS-I202(D) (2.8), 2Мп купольная IP-видеокамера с EXIR-подсветкой до 30м",IP-камера DS-2CD2123G0-IS 2.8mm HIKVISION,15.0,53190.0
2021-10-23 10:57:40.444,54079,272374,31034,"SYSMATRIX SL 6822.712 Шкаф монтажный телекоммуникационный 19"" напольный 22U 600x800x1100mm (ШхГхВ) передняя дверь стеклянная, задняя дверь сплошная металлическая, поворотная ручка с замком, цвет серый (RAL
7035/RAL 7000)","Шкаф напольный Hyperline TTB-2266-AS-RAL9004 шкаф напольный 19-дюймовый, 22U, 1166x600х600 мм (ВхШхГ)",1.0,27576.0
2021-10-23 10:57:40.444,54079,272375,31034,"8P8C (100 шт), Разъем RJ-45 под витую пару, кат. 5e, универсальный", разъем RJ45 для витой пары,1.0,364.0
2021-10-23 10:57:40.444,54079,272376,31034,"UTP 4PR 24AWG CAT5e OUTDOOR 305м CCA PROCONNECT(01-0045-3), Кабель омедненный UTP, cat 5е, 4х2х0.5,для внешней прокладки, оболочка серого цвета, внешний диаметр 5,1 мм, диапазон рабочих температур -30...+75°С, температура монтажа не ниже -10°С.",Кабель FTP 4PR 24AWG CAT5 305м. черный внешний,3.0,10943.4
2021-10-23 10:57:40.444,54079,272377,31315,"DELIVERY, Комплектация и доставка материалов","DELIVERY, Комплектация и доставка материалов",1.0,2000.0
2021-10-25 08:40:07.649,54102,272449,31344,"91920 Труба ПВХ гибкая гофр. д.20мм, лёгкая с протяжкой, 100м, цвет серый","Труба гофрированная ПВХ Д=20мм 91920 дкс ,iek,tdm",3900.0,44538.0
2021-10-25 08:40:07.649,54102,272450,31344,"51020 Держатель с защелкой, д.20мм (упак 100 шт)","Держатель для трубы гофрированной ПВХ Д=20 мм 91920 дкс ,iek,tdm",3900.0,9165.0
2021-10-25 08:48:39.058,54104,272452,31048,"ЗУБР Доводчик дверной ""ПРОФЕССИОНАЛ"", для дверей массой до 100 кг, цвет белый 37911-100","Дверной доводчик ЗУБР ПРОФЕССИОНАЛ для дверей массой до 100 кг, цвет белый 37911-100",2.0,5168.0
2021-10-25 17:29:53.477,54321,273507,31048,"ББП РАПАН-40, источник питания 12В 4А корпус под АКБ1х7 Ач защита АКБ ток заряда 0,5А (Бастион)",Источник питания ББП РАПАН-40,4.0,4710.0
2021-10-25 17:29:53.477,54321,273508,31048,"Батарея аккумуляторная SF 1207 12В, 7Ач (Security Force)","Аккумулятор 12 В, 7 Ач",4.0,2208.0
2021-10-25 17:29:53.477,54321,273509,31048,"Кнопка выхода ЛКД НУ-00 01 накладная, металлическая, НР, 83x32x25 мм LKD-NU00-01 (ЛКД)",Кнопка выхода TS-CLICK,4.0,1620.0
2021-10-25 17:29:53.477,54321,273510,31048,"Карта-доступа ЛКД ИУ-10 01 чип TK4100, толстая с прорезью, с нумерацией, Em-Marine LKD-IEM10-01 (ЛКД)",Проксимити карта StandProx,250.0,3725.0
2021-10-25 17:29:53.477,54321,273511,31048,"ЛКД ЗЭ-180, Замок электромагнитный. Усилие удержания: 180кг. Размеры замка: 170х38,5х21мм. Размеры якорной пластины: 130х33х11мм. Потребляемый ток: 420мА при 12В. Рабочая температура: -30 ÷ +55. Датчик двери (датчик холла). Корпус из анодированного алюминия. Монтажная планка в комплекте (ЛКД)","Электромагнитный влагозащищенный замок IP67, 12V DC, не более 0,4 A, усилие 180 кг, габаритные размеры 180x40x25 мм. Масса брутто",4.0,5960.0
2021-10-25 17:29:53.477,54321,273512,31048,ЛКД ЗЭ-180L Крепление L-образное для замка ЛКД ЗЭ-180 (ЛКД),"Дверной доводчик ЗУБР ПРОФЕССИОНАЛ для дверей массой до 100 кг, цвет белый 37911-100",4.0,1680.0
2021-10-25 17:29:53.477,54321,273513,31048,"Турникет ""Ростов-Дон Т9М1-02"", 0710 (РостЕвроСтрой)",Турникет-трипод Т283М1 Код: 079059   Артикул производителя:(0434),1.0,47524.67
2021-10-26 09:57:38.214,54389,273844,31025,Светильник ОНЛАИТ 61 910 ODSP-03-16-6.5K-LED,Светильник ДСП 1311 36Вт 6500К IP65 1230мм серый пластик|LDSP0-1311-36-6500-K01|IEK,200.0,75404.0
2021-10-26 09:57:38.214,54389,273845,31025,Корпус метал. ЩМП-2-1 (500x400x150мм) УХЛЗ IP31 GENERICA,Щит с монтажной панелью 500х400х150 IP31 УХЛЗ металлический с замком ЩМП-2-1,10.0,18767.3
2021-10-26 09:57:38.214,54389,273846,31025,Диф.автомат АД12 2Р 16А ЗОмА GENERICA,Дифференциальный автомат  1-пол. 16А С 30мА АД14 IEK,20.0,11444.8
2021-10-26 09:57:38.214,54389,273847,31025,Диф.автомат АД14 4Р 25А ЗОмА GENERICA,Дифференциальный автомат  4-пол. 25А С 30мА АД14 IEK,15.0,14251.5
2021-10-26 09:57:38.214,54389,273848,31025,Авт. выкл. ВА47-100 ЗР 100А 10кА х-ка С TDM,Выключатель автоматический трехполюсный 100 А C ВА47-100 C 10кА (MVA40-3-100-C IEK,6.0,6212.34
2021-10-26 09:57:38.214,54389,273849,31025,Авт. выкл. ВА47-100 ЗР 63А 10кА х-ка С TDM,Выключатель автоматический трехполюсный 63А С ВА47-100 10кА (MVA40-3-063-C IEK,6.0,6618.9
2021-10-26 09:57:38.214,54389,273850,31025,Розетка каучук трехместная с заземлением IP44 компакт UNIVersal,"Розетка трехместная  с защитными крышками каучуковая 230В, 16A",60.0,13915.8
2021-10-26 09:57:38.214,54389,273851,31025,Вилка прямая влагозащищенная с кольцом с/з 16 A IP44 черная каучук PROCONNECT,вилка каучуковая 220в 16а с заземлением,60.0,3660.0
2021-10-26 09:57:38.214,54389,273852,31025,Бокс настенный ЩРН-П-12 модулей пластик IP41 GENERICA,Щит распределительный навесной белый дверь прозрачная на 12 модулей IP40 iek,10.0,3016.0
2021-10-26 09:57:38.214,54389,273853,31025,Бокс настенный ЩРН-П-24 модуля пластик IP41 GENERICA,Щит распределительный навесной белый дверь прозрачная на 26 модулей IP40 iek,1.0,610.03
2021-10-26 09:57:38.214,54389,273854,31025,Кабель-канал 60x40 ECOLINE (18 м) ИЭК,кабель-канал 60х40,200.0,22324.0
2021-10-26 09:57:38.214,54389,273855,31025,Кабель АВВГ 5x25,кабель аввг 5х25 мм2,350.0,87426.5
2021-10-26 09:57:38.214,54389,273856,31025,"Клеммы для распределительных коробок 2273-244 на 4 пров. сечением 0,5-2,5 мм2 (с пастой),упак.100 шт. WAGO",клемма wago 2273-244 4 2.5мм2 ,500.0,6105.0
2021-10-26 09:57:38.214,54389,273857,31025,"Набор отверток 6 шт.: SL:3x75;5x100;6x100, РН:0х75; 1 х100;2х100 (карт, коробка), CR-V ""Алмаз"" TDM",Набор отверток с магнитным наконечником Gigant 11 предметов GSS 11,6.0,2020.14
2021-10-26 09:57:38.214,54389,273858,31025,Пассатижи Master 160 мм 1000В EKF Basic,Пассатижи Navigator диэлектрические 160 мм,6.0,2205.0
2021-10-26 09:57:38.214,54389,273859,31025,Бокорезы-кусачки 160 мм Стайл,Бокорезы Navigator диэлектрические 160 мм,6.0,1621.62
2021-10-26 09:57:38.214,54389,273860,31025,Отвертка-пробник ОП-1 ИЭК,Индикаторная отвертка-пробник 135мм,15.0,1979.1
2021-10-26 09:57:38.214,54389,273861,31025,"Набор шестигранников угловых “НЕХ"" 9 шт.: 1.5-10 мм, длинные с шаром, (держатель в блистере), CR-V сталь ""Алмаз"" TDM",Набор шестигранников 10 предметов СЕРВИС КЛЮЧ PROFFI 76402,5.0,1288.4
2021-10-26 09:57:38.214,54389,273862,31025,"Щит механизации ЩМ- РУСП-100-6x1 П-2хЗП-1Р54 (ВВ-100А с 1 УЗО, 6 роз. 1P+N+PE 16А, 2 роз. 3P+PE+N 32А)","Щит механизации ЩМ-РУСП-100-6х1П-2х3П-IP54 (ВВ-100А с УЗО, 6 роз. 1Р+N+РЕ 16A, 2 роз. 3Р+N+РЕ 32А)",10.0,143000.2
2021-10-26 09:57:38.214,54389,273863,31025,"Кабель АВВГ 2x2,5 (Плоский)","кабеля АВВГ 2х1,5",1500.0,20895.0
2021-10-26 09:57:38.214,54389,273864,31025,DIN-рейка (120см) оцинкованная TDM,DIN-рейка 30см оцинкованная (YDN10-0030),15.0,1316.4
2021-10-26 09:57:38.214,54389,273865,31025,"Шина РЕ ""земля"" в комб DIN-изол'Стойка"" ШНИ-8х12-12-КС-Ж ИЭК","
Шина PE земля комбинированный DIN-изолятор типа Стойка ШНИ-8х12-12-КС-Ж (YNN10-812-12DP-K05)
",15.0,2470.05
2021-10-26 09:57:38.214,54389,273866,31025,Изолента ОНЛАЙТ 71 677 OIT-B15-20/BL черная,Изолента IEK Home 15 мм 20 м цвет чёрный,70.0,1726.2
2021-10-26 09:57:38.214,54389,273867,31025,Пресс гидравлический ручной ПГР-300 EKF Master,Пресс гидравлический ручной ПГР-300 (КВТ) к-кт,1.0,4528.8
2021-10-26 09:57:38.214,54389,273868,31025,Наконечник ТА 25- 8-7 (КВТ),Наконечник под опресcовку алюминиевый ТА 25-8-7  (100 шт. в уп.)(КВТ) | 44845 | КВТ,50.0,527.5
2021-10-26 09:57:38.214,54389,273869,31025,Нож строительный монтажный НСМ-02 (КВТ),"
Нож строительный монтажный НСМ-02 (КВТ)",20.0,4033.4
2021-10-26 09:57:38.214,54389,273870,31025,Труба гофрированная ПВХ серая с/з д16 (100м/5500м уп/пал) Строитель,пвх гофра 16 мм,500.0,3510.0
2021-10-26 09:57:38.214,54389,273871,31025,Труба гофрированная ПВХ серая с/з д20 (100м/4800м уп/пал) Строитель,пвх гофра 20 мм,800.0,7192.0
2021-10-26 09:57:38.214,54389,273872,31025,Крепёж-клипса для труб Полистирол д16 (100шт/2000шт уп/кор) Промрукав,Крепеж-клипса d16мм,500.0,730.0
2021-10-26 09:57:38.214,54389,273873,31025,Крепёж-клипса для труб Полистирол д20 (100шт/1500шт уп/кор) Промрукав,Крепеж-клипса d20мм,800.0,1560.0
2021-10-26 12:14:51.411,54472,274161,30888,"Настольный компьютер HP Pavilion Gaming TG01-1005ur (14R12EA#ABC) Intel Core i5 10400F, 2900 МГц, 8 Гб, без HDD, 512 Гб SSD, GeForce GTX 1650 4096 Мб, 1000 Мбит/с, Wi-Fi, Bluetooth, Windows 10 Home (64 bit)","Системный блок ,Производитель процессора:Intel
Процессор:Core i5
Модель процессора:10400F
Число ядер процессора:6шт.
Частота процессора:2900мгц
Объём оперативной памяти:8 Гб
Тип жесткого диска:SSD
Объем жесткого диска, Гб:отсутствует
Объем SSD диска, Гб:512
Тип графического контроллера:дискретный
Видеокарта:NVIDIA GeForce GTX 1650 Super
Операционная система:Windows 10 Home
Клавиатура и мышь в комплекте:Да",2.0,134712.0
2021-10-26 12:14:51.411,54472,274162,30888,"Монитор Samsung 24"" S24D300H 24"", TN, 1920x1080 (Full HD), 2 мс, 250 кд/м2, 170°/160°, VGA, HDMI, чёрный",Монитор 27 Asus VA27DQSB (VA27DQSB) ​ Арт. 1409601,4.0,51912.0
2021-10-26 12:14:51.411,54472,274163,30888,"Мышь Logitech M310 Silver (910-003986) лазерная, беспроводная (радиоканал), 1000 dpi, USB, цвет: серебристый, чёрный",Безпроводной Мышь компьютерная,2.0,2980.0
2021-10-26 12:14:51.411,54472,274164,30888,"Кабель DVI (M) - VGA (M), 1.8м, Telecom TA680F-1.8M кабель DVI-I (M) - VGA (M), 1.8 м",кабель dvi-d vga для монитора 1.5 м,2.0,1372.0
